title                                                                                                                                                                                                                                                     , page_url                                                                                                                                                                  , sektor                                          , subsektor                                                                                                                                                                                                                 , jenis_regulasi, nomor_regulasi            , tanggal_berlaku  , filename                                                                                                                                                                                                                                                     , file_url                                                                                                                                                                                                                                                                                                                                                                  , new_filename                                                                                                                                                                                                                                                   , pages, page_range
Penyelenggaraan Usaha Perusahaan Modal Ventura dan Perusahaan Modal Ventura Syariah                                                                                                                                                                       , https://www.ojk.go.id/id/regulasi/Pages/Penyelenggaraan-Usaha-Perusahaan-Modal-Ventura-dan-Perusahaan-Modal-Ventura-Syariah.aspx                                          , IKNB                                            , "IKNB Syariah,  Lembaga Pembiayaan,  Peraturan Lainnya"                                                                                                                                                                   , Peraturan OJK , 25 Tahun 2023             , 22 Desember 2023 , Penyelenggaraan-Usaha-Perusahaan-Modal-Ventura-dan-Perusahaan-Modal-Ventura-Syariah -- POJK 25 Tahun 2023 Penyelenggaraan Usaha Perusahaan Modal Ventura dan Perusahaan Modal Ventura Syariah.pdf                                                            , https://www.ojk.go.id/id/regulasi/Documents/Pages/Penyelenggaraan-Usaha-Perusahaan-Modal-Ventura-dan-Perusahaan-Modal-Ventura-Syariah/POJK%2025%20Tahun%202023%20Penyelenggaraan%20Usaha%20Perusahaan%20Modal%20Ventura%20dan%20Perusahaan%20Modal%20Ventura%20Syariah.pdf                                                                                                , ojk-peraturan_ojk-25_tahun_2023-22122023-penyelenggaraan_usaha_perusahaan_modal_ventura_dan_perusahaan_modal_ventura_syariah.pdf                                                                                                                               ,     3, 0-10
"Perizinan Usaha dan Kelembagaan Perusahaan Pialang Asuransi, Perusahaan Pialang Reasuransi, dan Perusahaan Penilai Kerugian"                                                                                                                             , "https://www.ojk.go.id/id/regulasi/Pages/Perizinan-Usaha-dan-Kelembagaan-Perusahaan-Pialang-Asuransi,-Perusahaan-Pialang-Reasuransi,-dan-Perusahaan-Penilai-Kerugian.aspx", IKNB                                            , "Asuransi,  Peraturan Lainnya"                                                                                                                                                                                            , Peraturan OJK , 24 Tahun 2023             , 22 Desember 2023 , "Perizinan-Usaha-dan-Kelembagaan-Perusahaan-Pialang-Asuransi,-Perusahaan-Pialang-Reasuransi,-dan-Perus -- POJK 24 Tahun 2023 Perizinan Usaha dan Kelembagaan Perusahaan Pialang Asuransi, Perusahaan Pialang Reasuransi, dan Perusahaan Penilai Kerugian.pdf", https://www.ojk.go.id/id/regulasi/Documents/Pages/Perizinan-Usaha-dan-Kelembagaan-Perusahaan-Pialang-Asuransi%2c-Perusahaan-Pialang-Reasuransi%2c-dan-Perusahaan-Penilai-Kerugian/POJK%2024%20Tahun%202023%20Perizinan%20Usaha%20dan%20Kelembagaan%20Perusahaan%20Pialang%20Asuransi%2c%20Perusahaan%20Pialang%20Reasuransi%2c%20dan%20Perusahaan%20Penilai%20Kerugian.pdf, ojk-peraturan_ojk-24_tahun_2023-22122023-perizinan_usaha_dan_kelembagaan_perusahaan_pialang_asuransi_perusahaan_pialang_reasuransi_dan_perusahaan_penilai_kerugian.pdf                                                                                         ,     6, 0-10
"Perizinan Usaha Dan Kelembagaan Perusahaan Asuransi, Perusahaan Asuransi Syariah, Perusahaan Reasuransi, Dan Perusahaan Reasuransi Syariah"                                                                                                              , "https://www.ojk.go.id/id/regulasi/Pages/Perizinan-Usaha-dan-Kelembagaan-Perusahaan-Asuransi,-Asuransi-Syariah,-Reasuransi,-dan-Reasuransi-Syariah.aspx"                  , IKNB                                            , "IKNB Syariah,  Asuransi,  Peraturan Lainnya"                                                                                                                                                                             , Peraturan OJK , 23 Tahun 2023             , 22 Desember 2023 , "Perizinan-Usaha-dan-Kelembagaan-Perusahaan-Asuransi,-Asuransi-Syariah,-Reasuransi,-dan-Reasuransi-Syariah -- POJK 23 Tahun 2023 Perizinan Usaha Dan Kelembagaan Perusahaan Asuransi, Asuransi Syariah, Reasuransi, Dan Reasuransi Syariah.pdf"              , https://www.ojk.go.id/id/regulasi/Documents/Pages/Perizinan-Usaha-dan-Kelembagaan-Perusahaan-Asuransi%2c-Asuransi-Syariah%2c-Reasuransi%2c-dan-Reasuransi-Syariah/POJK%2023%20Tahun%202023%20Perizinan%20Usaha%20Dan%20Kelembagaan%20Perusahaan%20Asuransi%2c%20Asuransi%20Syariah%2c%20Reasuransi%2c%20Dan%20Reasuransi%20Syariah.pdf                                    , ojk-peraturan_ojk-23_tahun_2023-22122023-perizinan_usaha_dan_kelembagaan_perusahaan_asuransi_perusahaan_asuransi_syariah_perusahaan_reasuransi_dan_perusahaan_reasuransi_syariah.pdf                                                                           ,     5, 0-10
Pelindungan Konsumen dan Masyarakat di Sektor Jasa Keuangan                                                                                                                                                                                               , https://www.ojk.go.id/id/regulasi/Pages/Pelindungan-Konsumen-dan-Masyarakat-di-Sektor-Jasa-Keuangan.aspx                                                                  , EPK                                             , Peraturan Lainnya                                                                                                                                                                                                         , Peraturan OJK , 22 Tahun 2023             , 22 Desember 2023 , Pelindungan-Konsumen-dan-Masyarakat-di-Sektor-Jasa-Keuangan -- POJK 22 Tahun 2023 Pelindungan Konsumen dan Masyarakat di Sektor Jasa Keuangan.pdf                                                                                                            , https://www.ojk.go.id/id/regulasi/Documents/Pages/Pelindungan-Konsumen-dan-Masyarakat-di-Sektor-Jasa-Keuangan/POJK%2022%20Tahun%202023%20Pelindungan%20Konsumen%20dan%20Masyarakat%20di%20Sektor%20Jasa%20Keuangan.pdf                                                                                                                                                    , ojk-peraturan_ojk-22_tahun_2023-22122023-pelindungan_konsumen_dan_masyarakat_di_sektor_jasa_keuangan.pdf                                                                                                                                                       ,    12, 11-20
Layanan Digital oleh Bank Umum                                                                                                                                                                                                                            , https://www.ojk.go.id/id/regulasi/Pages/Layanan-Digital-oleh-Bank-Umum.aspx                                                                                               , Perbankan                                       , Bank Umum                                                                                                                                                                                                                 , Peraturan OJK , 21 Tahun 2023             , 22 Desember 2023 , Layanan-Digital-oleh-Bank-Umum -- POJK 21 Tahun 2023. Layanan Digital oleh Bank Umum.pdf                                                                                                                                                                     , https://www.ojk.go.id/id/regulasi/Documents/Pages/Layanan-Digital-oleh-Bank-Umum/POJK%2021%20Tahun%202023.%20Layanan%20Digital%20oleh%20Bank%20Umum.pdf                                                                                                                                                                                                                   , ojk-peraturan_ojk-21_tahun_2023-22122023-layanan_digital_oleh_bank_umum.pdf                                                                                                                                                                                    ,     2, 0-10
Produk Asuransi yang Dikaitkan dengan Kredit atau Pembiayaan Syariah dan Produk Suretyship atau Suretyship Syariah                                                                                                                                        , https://www.ojk.go.id/id/regulasi/Pages/Produk-Asuransi-yang-Dikaitkan-dengan-Kredit-atau-Pembiayaan-Syariah-dan-Produk-Suretyship-atau-Suretyship-Syariah.aspx           , IKNB                                            , "IKNB Syariah,  Asuransi"                                                                                                                                                                                                 , Peraturan OJK , 20 Tahun 2023             , 13 Desember 2023 , Produk-Asuransi-yang-Dikaitkan-dengan-Kredit-atau-Pembiayaan-Syariah-dan-Produk-Suretyship-atau-Suretyship-Sya -- POJK 20 Tahun 2023 Produk Asuransi Yang Dikaitkan Dengan Kredit Atau Pembiayaan Syariah Dan Produk Suretyship Atau Suretyship Syariah.pdf  , https://www.ojk.go.id/id/regulasi/Documents/Pages/Produk-Asuransi-yang-Dikaitkan-dengan-Kredit-atau-Pembiayaan-Syariah-dan-Produk-Suretyship-atau-Suretyship-Syariah/POJK%2020%20Tahun%202023%20Produk%20Asuransi%20Yang%20Dikaitkan%20Dengan%20Kredit%20Atau%20Pembiayaan%20Syariah%20Dan%20Produk%20Suretyship%20Atau%20Suretyship%20Syariah.pdf                        , ojk-peraturan_ojk-20_tahun_2023-13122023-produk_asuransi_yang_dikaitkan_dengan_kredit_atau_pembiayaan_syariah_dan_produk_suretyship_atau_suretyship_syariah.pdf                                                                                                ,     3, 0-10
Pengembangan Kualitas Sumber Daya Manusia Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah                                                                                                                                                   , https://www.ojk.go.id/id/regulasi/Pages/Pengembangan-Kualitas-Sumber-Daya-Manusia-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah-(POJK-19-Tahu-2023).aspx  , Perbankan                                       , "BPR,  Perbankan Syariah"                                                                                                                                                                                                 , Peraturan OJK , 19 Tahun 2023             , 1 November 2023  , Pengembangan-Kualitas-Sumber-Daya-Manusia-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah-(POJK-19-Tahu-2 -- POJK 19 Tahun 2023 - Pengembangan Kualitas Sumber Daya Manusia Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah.pdf  , https://www.ojk.go.id/id/regulasi/Documents/Pages/Pengembangan-Kualitas-Sumber-Daya-Manusia-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah-%28POJK-19-Tahu-2023%29/POJK%2019%20Tahun%202023%20-%20Pengembangan%20Kualitas%20Sumber%20Daya%20Manusia%20Bank%20Perekonomian%20Rakyat%20dan%20Bank%20Perekonomian%20Rakyat%20Syariah.pdf                      , ojk-peraturan_ojk-19_tahun_2023-01112023-pengembangan_kualitas_sumber_daya_manusia_bank_perekonomian_rakyat_dan_bank_perekonomian_rakyat_syariah.pdf                                                                                                           ,     2, 0-10
Penerbitan dan Persyaratan Efek Bersifat Utang dan Sukuk Berlandaskan Keberlanjutan                                                                                                                                                                       , https://www.ojk.go.id/id/regulasi/Pages/Penerbitan-dan-Persyaratan-Efek-Bersifat-Utang-dan-Sukuk-Berlandaskan-Keberlanjutan-POJK-18-Tahun-2023.aspx                       , Pasar Modal                                     , Peraturan Lainnya                                                                                                                                                                                                         , Peraturan OJK , 18 Tahun 2023             , 10 Oktober 2023  , Penerbitan-dan-Persyaratan-Efek-Bersifat-Utang-dan-Sukuk-Berlandaskan-Keberlanjutan-POJK-18-Tahun-2023 -- POJK 18 Tahun 2023 - Penerbitan dan Persyaratan Efek Bersifat Utang dan Sukuk Berlandas.pdf                                                        , https://www.ojk.go.id/id/regulasi/Documents/Pages/Penerbitan-dan-Persyaratan-Efek-Bersifat-Utang-dan-Sukuk-Berlandaskan-Keberlanjutan-POJK-18-Tahun-2023/POJK%2018%20Tahun%202023%20-%20Penerbitan%20dan%20Persyaratan%20Efek%20Bersifat%20Utang%20dan%20Sukuk%20Berlandas.pdf                                                                                            , ojk-peraturan_ojk-18_tahun_2023-10102023-penerbitan_dan_persyaratan_efek_bersifat_utang_dan_sukuk_berlandaskan_keberlanjutan.pdf                                                                                                                               ,     1, 0-10
Penerapan Tata Kelola Bagi Bank Umum                                                                                                                                                                                                                      , https://www.ojk.go.id/id/regulasi/Pages/Penerapan-Tata-Kelola-Bagi-Bank-Umum.aspx                                                                                         , Perbankan                                       , Bank Umum                                                                                                                                                                                                                 , Peraturan OJK , 17 Tahun 2023             , 14 September 2023, Penerapan-Tata-Kelola-Bagi-Bank-Umum -- POJK 17 Tahun 2023. PENERAPAN TATA KELOLA BAGI BANK UMUM.pdf                                                                                                                                                         , https://www.ojk.go.id/id/regulasi/Documents/Pages/Penerapan-Tata-Kelola-Bagi-Bank-Umum/POJK%2017%20Tahun%202023.%20PENERAPAN%20TATA%20KELOLA%20BAGI%20BANK%20UMUM.pdf                                                                                                                                                                                                     , ojk-peraturan_ojk-17_tahun_2023-14092023-penerapan_tata_kelola_bagi_bank_umum.pdf                                                                                                                                                                              ,    12, 11-20
Penyelenggaraan Layanan Administrasi Prinsip Mengenali Nasabah                                                                                                                                                                                            , https://www.ojk.go.id/id/regulasi/Pages/POJK-Nomor-15-Tahun-2023-tentang-Penyelenggaraan-Layanan-Administrasi-Prinsip-Mengenali-Nasabah.aspx                              , Pasar Modal                                     , Peraturan Lainnya                                                                                                                                                                                                         , Peraturan OJK , 15 Tahun 2023             , 8 Agustus 2023   , POJK-Nomor-15-Tahun-2023-tentang-Penyelenggaraan-Layanan-Administrasi-Prinsip-Mengenali-Nasabah -- POJK 15 Tahun 2023- Penyelenggaraan Layanan Administrasi Prinsip Mengenali Nasabah.pdf                                                                    , https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-Nomor-15-Tahun-2023-tentang-Penyelenggaraan-Layanan-Administrasi-Prinsip-Mengenali-Nasabah/POJK%2015%20Tahun%202023-%20Penyelenggaraan%20Layanan%20Administrasi%20Prinsip%20Mengenali%20Nasabah.pdf                                                                                                                , ojk-peraturan_ojk-15_tahun_2023-08082023-penyelenggaraan_layanan_administrasi_prinsip_mengenali_nasabah.pdf                                                                                                                                                    ,     1, 0-10
Penyidikan Tindak Pidana di Sektor Jasa Keuangan                                                                                                                                                                                                          , https://www.ojk.go.id/id/regulasi/Pages/Penyidikan-Tindak-Pidana-di-Sektor-Jasa-Keuangan-(POJK-Penyidikan).aspx                                                           , "Perbankan,  Pasar Modal,  IKNB,  Syariah,  EPK", Peraturan Lainnya                                                                                                                                                                                                         , Peraturan OJK , 16 Tahun 2023             , 7 Agustus 2023   , Penyidikan-Tindak-Pidana-di-Sektor-Jasa-Keuangan-(POJK-Penyidikan) -- POJK 16 TAHUN 2023 -  OJK TERBITKAN ATURAN BARU MENGENAI PENYIDIKAN TINDAK PIDANA SEKTOR JASA KEUANGAN.pdf                                                                             , https://www.ojk.go.id/id/regulasi/Documents/Pages/Penyidikan-Tindak-Pidana-di-Sektor-Jasa-Keuangan-%28POJK-Penyidikan%29/POJK%2016%20TAHUN%202023%20-%20%20OJK%20TERBITKAN%20ATURAN%20BARU%20MENGENAI%20PENYIDIKAN%20TINDAK%20PIDANA%20SEKTOR%20JASA%20KEUANGAN.pdf                                                                                                       , ojk-peraturan_ojk-16_tahun_2023-07082023-penyidikan_tindak_pidana_di_sektor_jasa_keuangan.pdf                                                                                                                                                                  ,     3, 0-10
Perdagangan Karbon Melalui Bursa Karbon                                                                                                                                                                                                                   , https://www.ojk.go.id/id/regulasi/Pages/Perdagangan-Karbon-Melalui-Bursa-Karbon.aspx                                                                                      , Pasar Modal                                     , Peraturan Lainnya                                                                                                                                                                                                         , Peraturan OJK , 14 Tahun 2023             , 2 Agustus 2023   , Perdagangan-Karbon-Melalui-Bursa-Karbon -- POJK 14 Tahun 2023 - PERDAGANGAN KARBON MELALUI BURSA KARBON.pdf                                                                                                                                                  , https://www.ojk.go.id/id/regulasi/Documents/Pages/Perdagangan-Karbon-Melalui-Bursa-Karbon/POJK%2014%20Tahun%202023%20-%20PERDAGANGAN%20KARBON%20MELALUI%20BURSA%20KARBON.pdf                                                                                                                                                                                              , ojk-peraturan_ojk-14_tahun_2023-02082023-perdagangan_karbon_melalui_bursa_karbon.pdf                                                                                                                                                                           ,     2, 0-10
Kebijakan dalam Menjaga Kinerja dan Stabilitas Pasar Modal dalam Kondisi Pasar yang Berfluktuasi secara Signifikan                                                                                                                                        , https://www.ojk.go.id/id/regulasi/Pages/Kebijakan-dalam-Menjaga-Kinerja-dan-Stabilitas-Pasar-Modal-dalam-Kondisi-Pasar-yang-Berfluktuasi-secara-Signifikan.aspx           , Pasar Modal                                     , Peraturan Lainnya                                                                                                                                                                                                         , Peraturan OJK , 13 Tahun 2023             , 20 Juli 2023     , Kebijakan-dalam-Menjaga-Kinerja-dan-Stabilitas-Pasar-Modal-dalam-Kondisi-Pasar-yang-Berfluktuasi-secara-Signifikan -- POJK 13 TAHUN 2023 - KEBIJAKAN DALAM MENJAGA KINERJA DAN STABILITAS PASAR MODAL D.pdf                                                  , https://www.ojk.go.id/id/regulasi/Documents/Pages/Kebijakan-dalam-Menjaga-Kinerja-dan-Stabilitas-Pasar-Modal-dalam-Kondisi-Pasar-yang-Berfluktuasi-secara-Signifikan/POJK%2013%20TAHUN%202023%20-%20KEBIJAKAN%20DALAM%20MENJAGA%20KINERJA%20DAN%20STABILITAS%20PASAR%20MODAL%20D.pdf                                                                                      , ojk-peraturan_ojk-13_tahun_2023-20072023-kebijakan_dalam_menjaga_kinerja_dan_stabilitas_pasar_modal_dalam_kondisi_pasar_yang_berfluktuasi_secara_signifikan.pdf                                                                                                ,     2, 0-10
