title,page_url,sektor,subsektor,jenis_regulasi,nomor_regulasi,tanggal_berlaku,filename,file_url,new_filename,pages,page_range
Pemisahan Unit Syariah Perusahaan Asuransi dan Perusahaan Reasuransi,https://www.ojk.go.id/id/regulasi/Pages/Pemisahan-Unit-Syariah-Perusahaan-Asuransi-dan-Perusahaan-Reasuransi-(POJK-11-Tahun-2023).aspx,IKNB,Asuransi,Peraturan OJK,11 Tahun 2023,11 Juli 2023,Pemisahan-Unit-Syariah-Perusahaan-Asuransi-dan-Perusahaan-Reasuransi-(POJK-11-Tahun-2023) -- POJK 11 TAHUN 2023 - PEMISAHAN UNIT SYARIAH ASURANSI DAN REASURANSI.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Pemisahan-Unit-Syariah-Perusahaan-Asuransi-dan-Perusahaan-Reasuransi-%28POJK-11-Tahun-2023%29/POJK%2011%20TAHUN%202023%20-%20PEMISAHAN%20UNIT%20SYARIAH%20ASURANSI%20DAN%20REASURANSI.pdf,ojk-peraturan_ojk-11_tahun_2023-11072023-pemisahan_unit_syariah_perusahaan_asuransi_dan_perusahaan_reasuransi.pdf,16,16-20
Pemisahan Unit Usaha Syariah Perusahaan Penjaminan,https://www.ojk.go.id/id/regulasi/Pages/Pemisahan-Unit-Usaha-Syariah-Perusahaan-Penjaminan.aspx,IKNB,"IKNB Syariah,  Lembaga Kliring dan Penjaminan,  Peraturan Lainnya",Peraturan OJK,10 Tahun 2023,11 Juli 2023,Pemisahan-Unit-Usaha-Syariah-Perusahaan-Penjaminan -- POJK 10 TAHUN 2023 - PEMISAHAN UNIT USAHA SYARIAH PERUSAHAAN PENJAMINAN.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Pemisahan-Unit-Usaha-Syariah-Perusahaan-Penjaminan/POJK%2010%20TAHUN%202023%20-%20PEMISAHAN%20UNIT%20USAHA%20SYARIAH%20PERUSAHAAN%20PENJAMINAN.pdf,ojk-peraturan_ojk-10_tahun_2023-11072023-pemisahan_unit_usaha_syariah_perusahaan_penjaminan.pdf,14,11-15
Perubahan Kedua Atas Peraturan Otoritas Jasa Keuangan Nomor 23/POJK.04/2016 Tentang Reksa Dana Berbentuk Kontrak Investasi Kolektif,https://www.ojk.go.id/id/regulasi/Pages/Reksa-Dana-Berbentuk-Kontrak-Investasi-Kolektif.aspx,Pasar Modal,Reksa Dana,Peraturan OJK,4 TAHUN 2023,31 Maret 2023,Reksa-Dana-Berbentuk-Kontrak-Investasi-Kolektif -- POJK Nomor 4 Tahun 2023.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Reksa-Dana-Berbentuk-Kontrak-Investasi-Kolektif/POJK%20Nomor%204%20Tahun%202023.pdf,ojk-peraturan_ojk-4_tahun_2023-31032023-perubahan_kedua_atas_peraturan_otoritas_jasa_keuangan_nomor_23_pojk_04_2016_tentang_reksa_dana_berbentuk_kontrak_investasi_kolektif.pdf,30,26-30
Penerapan Tata Kelola Manajer Investasi,https://www.ojk.go.id/id/regulasi/Pages/Perubahan-Atas-Peraturan-Otoritas-Jasa-Keuangan-Nomor-10.POJK.04.2018-Tentang-Penerapan-Tata-Kelola-Manajer-Investasi.aspx,Pasar Modal,"Lembaga Penunjang Pasar Modal,  Profesi Penunjang Pasar Modal,  Peraturan Lainnya",Peraturan OJK,POJK 2 Tahun 2023,21 Februari 2023,Perubahan-Atas-Peraturan-Otoritas-Jasa-Keuangan-Nomor-10.POJK.04.2018-Tentang-Penerapan-Tata-Kelola-Manajer-Investasi -- POJK Nomor 2 Tahun 2023. PENERAPAN TATA KELOLA MANAJER INVESTASI.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Perubahan-Atas-Peraturan-Otoritas-Jasa-Keuangan-Nomor-10.POJK.04.2018-Tentang-Penerapan-Tata-Kelola-Manajer-Investasi/POJK%20Nomor%202%20Tahun%202023.%20PENERAPAN%20TATA%20KELOLA%20MANAJER%20INVESTASI.pdf,ojk-peraturan_ojk-pojk_2_tahun_2023-21022023-penerapan_tata_kelola_manajer_investasi.pdf,18,16-20
Perubahan Atas Peraturan Otoritas Jasa Keuangan Nomor 5/POJK.05/2013 Tentang Pengawasan Badan Penyelenggara Jaminan Sosial Oleh Otoritas Jasa Keuangan,https://www.ojk.go.id/id/regulasi/Pages/Perubahan-Atas-Peraturan-Otoritas-Jasa-Keuangan-Nomor-5.POJK.05.2013-Tentang-Pengawasan-Badan-Penyelenggara-Jaminan-Sosial.aspx,IKNB,Bank Umum,Peraturan OJK,1 Tahun 2023,10 Februari 2023,Perubahan-Atas-Peraturan-Otoritas-Jasa-Keuangan-Nomor-5.POJK.05.2013-Tentang-Pengawasan-Badan-Penyelenggara-Jaminan-Sosial -- POJK NOMOR 1 TAHUN 2023 - PENGAWASAN BADAN PENYELENGGARA JAMINAN SOSIAL OLEH OTORITAS JASA KEUANGAN.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Perubahan-Atas-Peraturan-Otoritas-Jasa-Keuangan-Nomor-5.POJK.05.2013-Tentang-Pengawasan-Badan-Penyelenggara-Jaminan-Sosial/POJK%20NOMOR%201%20TAHUN%202023%20-%20PENGAWASAN%20BADAN%20PENYELENGGARA%20JAMINAN%20SOSIAL%20OLEH%20OTORITAS%20JASA%20KEUANGAN.pdf,ojk-peraturan_ojk-1_tahun_2023-10022023-perubahan_atas_peraturan_otoritas_jasa_keuangan_nomor_5_pojk_05_2013_tentang_pengawasan_badan_penyelenggara_jaminan_sosial_oleh_otoritas_jasa_keuangan.pdf,19,16-20
Perubahan Kedua Atas Peraturan Otoritas Jasa Keuangan Nomor 11/POJK.03/2016 Tentang Kewajiban Penyediaan Modal Minimum Bank Umum,https://www.ojk.go.id/id/regulasi/Pages/Perubahan-Kedua-Atas-Peraturan-Otoritas-Jasa-Keuangan-Nomor-11POJK.032016-Tentang-Kewajiban-Penyediaan-Modal-Minimum-Bank.aspx,Perbankan,Bank Umum,Peraturan OJK,27 Tahun 2022,28 Desember 2022,Perubahan-Kedua-Atas-Peraturan-Otoritas-Jasa-Keuangan-Nomor-11POJK.032016-Tentang-Kewajiban-Penyediaan-Modal-Minimum-Bank -- POJK 27 Tahun 2022. Tentang Kewajiban Penyediaan Modal Minimum Bank Umum.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Perubahan-Kedua-Atas-Peraturan-Otoritas-Jasa-Keuangan-Nomor-11POJK.032016-Tentang-Kewajiban-Penyediaan-Modal-Minimum-Bank/POJK%2027%20Tahun%202022.%20Tentang%20Kewajiban%20Penyediaan%20Modal%20Minimum%20Bank%20Umum.pdf,ojk-peraturan_ojk-27_tahun_2022-28122022-perubahan_kedua_atas_peraturan_otoritas_jasa_keuangan_nomor_11_pojk_03_2016_tentang_kewajiban_penyediaan_modal_minimum_bank_umum.pdf,15,11-15
Pengembangan Kualitas Sumber Daya Manusia Bank Umum,https://www.ojk.go.id/id/regulasi/Pages/Pengembangan-Kualitas-Sumber-Daya-Manusia-Bank-Umum-.aspx,Perbankan,Bank Umum,Peraturan OJK,24 Tahun 2022,5 Desember 2022,Pengembangan-Kualitas-Sumber-Daya-Manusia-Bank-Umum- -- POJK 24 Tahun 2022 - Pengembangan Kualitas Sumber Daya Manusia Bank Umum.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Pengembangan-Kualitas-Sumber-Daya-Manusia-Bank-Umum-/POJK%2024%20Tahun%202022%20-%20Pengembangan%20Kualitas%20Sumber%20Daya%20Manusia%20Bank%20Umum.pdf,ojk-peraturan_ojk-24_tahun_2022-05122022-pengembangan_kualitas_sumber_daya_manusia_bank_umum.pdf,24,21-25
Batas Maksimum Pemberian Kredit Bank Perkreditan Rakyat dan Batas Maksimum Penyaluran Dana Bank Pembiayaan Rakyat Syariah,https://www.ojk.go.id/id/regulasi/Pages/Batas-Maksimum-Pemberian-Kredit-Bank-Perkreditan-Rakyat-dan-Batas-Maksimum-Penyaluran-Dana-Bank-Pembiayaan-Rakyat-Syariah.aspx,Perbankan,"Bank Umum,  BPR,  Perbankan Syariah",Peraturan OJK,23 Tahun 2022,23 November 2022,Batas-Maksimum-Pemberian-Kredit-Bank-Perkreditan-Rakyat-dan-Batas-Maksimum-Penyaluran-Dana-Bank-Pembiayaan-Rakyat-Syariah -- POJK 23 2022 BMPK BPR BMPD BPRS.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Batas-Maksimum-Pemberian-Kredit-Bank-Perkreditan-Rakyat-dan-Batas-Maksimum-Penyaluran-Dana-Bank-Pembiayaan-Rakyat-Syariah/POJK%2023%202022%20BMPK%20BPR%20BMPD%20BPRS.pdf,ojk-peraturan_ojk-23_tahun_2022-23112022-batas_maksimum_pemberian_kredit_bank_perkreditan_rakyat_dan_batas_maksimum_penyaluran_dana_bank_pembiayaan_rakyat_syariah.pdf,31,31-35
Tata Cara Pengajuan Permohonan Pernyataan Kepailitan dan Penundaan Kewajiban Pembayaran Utang Perusahaan Efek,https://www.ojk.go.id/id/regulasi/Pages/Tata-Cara-Pengajuan-Permohonan-Pernyataan-Kepailitan-dan-Penundaan-Kewajiban-Pembayaran-Utang-Perusahaan-Efek.aspx,Pasar Modal,Perusahaan Efek,Peraturan OJK,21 Tahun 2022,11 November 2022,Tata-Cara-Pengajuan-Permohonan-Pernyataan-Kepailitan-dan-Penundaan-Kewajiban-Pembayaran-Utang-Perusahaan-Efek -- POJK 21 Tahun 2022 - Tata Cara Permohonan Pernyataan Kepailitan dan Penundaan Pembayaran Utang Perusahaan Efek.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Tata-Cara-Pengajuan-Permohonan-Pernyataan-Kepailitan-dan-Penundaan-Kewajiban-Pembayaran-Utang-Perusahaan-Efek/POJK%2021%20Tahun%202022%20-%20Tata%20Cara%20Permohonan%20Pernyataan%20Kepailitan%20dan%20Penundaan%20Pembayaran%20Utang%20Perusahaan%20Efek.pdf,ojk-peraturan_ojk-21_tahun_2022-11112022-tata_cara_pengajuan_permohonan_pernyataan_kepailitan_dan_penundaan_kewajiban_pembayaran_utang_perusahaan_efek.pdf,22,21-25
Kegiatan Penyertaan Modal Oleh Bank Umum,https://www.ojk.go.id/id/regulasi/Pages/Kegiatan-Penyertaan-Modal-Oleh-Bank-Umum-.aspx,Perbankan,Bank Umum,Peraturan OJK,22 Tahun 2022,2 November 2022,Kegiatan-Penyertaan-Modal-Oleh-Bank-Umum- -- POJK 22 Tahun 2022 - KEGIATAN PENYERTAAN MODAL OLEH BANK UMUM.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Kegiatan-Penyertaan-Modal-Oleh-Bank-Umum-/POJK%2022%20Tahun%202022%20-%20KEGIATAN%20PENYERTAAN%20MODAL%20OLEH%20BANK%20UMUM.pdf,ojk-peraturan_ojk-22_tahun_2022-02112022-kegiatan_penyertaan_modal_oleh_bank_umum.pdf,33,31-35
