title,page_url,sektor,subsektor,jenis_regulasi,nomor_regulasi,tanggal_berlaku,filename,file_url,new_filename,pages
Penetapan Status Pengawasan dan Penanganan Permasalahan Bank Umum,https://www.ojk.go.id/id/regulasi/Pages/POJK-5-Tahun-2024-Penetapan-Status-Pengawasan-dan-Penanganan-Permasalahan-Bank-Umum.aspx,Perbankan,Bank Umum,Peraturan OJK,5 Tahun 2024,27 Maret 2024,POJK-5-Tahun-2024-Penetapan-Status-Pengawasan-dan-Penanganan-Permasalahan-Bank-Umum -- Abstrak POJK Nomor 5 Tahun 2024 Penetapan Status Pengawasan dan Penanganan Permasalahan Bank Umum.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-5-Tahun-2024-Penetapan-Status-Pengawasan-dan-Penanganan-Permasalahan-Bank-Umum/Abstrak%20POJK%20Nomor%205%20Tahun%202024%20Penetapan%20Status%20Pengawasan%20dan%20Penanganan%20Permasalahan%20Bank%20Umum.pdf,ojk-peraturan_ojk-5_tahun_2024-27032024-penetapan_status_pengawasan_dan_penanganan_permasalahan_bank_umum.pdf,12
Penetapan Status Pengawasan dan Penanganan Permasalahan Bank Umum,https://www.ojk.go.id/id/regulasi/Pages/POJK-5-Tahun-2024-Penetapan-Status-Pengawasan-dan-Penanganan-Permasalahan-Bank-Umum.aspx,Perbankan,Bank Umum,Peraturan OJK,5 Tahun 2024,27 Maret 2024,POJK-5-Tahun-2024-Penetapan-Status-Pengawasan-dan-Penanganan-Permasalahan-Bank-Umum -- FAQ POJK Nomor 5 Tahun 2024 Penetapan Status Pengawasan dan Penanganan Permasalahan Bank Umum.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-5-Tahun-2024-Penetapan-Status-Pengawasan-dan-Penanganan-Permasalahan-Bank-Umum/FAQ%20POJK%20Nomor%205%20Tahun%202024%20Penetapan%20Status%20Pengawasan%20dan%20Penanganan%20Permasalahan%20Bank%20Umum.pdf,ojk-peraturan_ojk-5_tahun_2024-27032024-penetapan_status_pengawasan_dan_penanganan_permasalahan_bank_umum.pdf,12
Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka dan Aktivitas Menjaminkan Saham Perusahaan Terbuka,https://www.ojk.go.id/id/regulasi/Pages/POJK-4-Tahun-2024-Laporan-Kepemilikan-atau-Setiap-Perubahan-Kepemilikan-Saham-Perusahaan-Terbuka-dan-Aktivitas-Menjaminkan.aspx,Pasar Modal,Peraturan Lainnya,Peraturan OJK,4 Tahun 2024,28 Februari 2024,POJK-4-Tahun-2024-Laporan-Kepemilikan-atau-Setiap-Perubahan-Kepemilikan-Saham-Perusahaan-Terbuka-dan-Aktivitas-Menjaminkan -- POJK 4 Tahun 2024 Laporan Kepemilikan atau Setiap Perubahan Kepemilik.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-4-Tahun-2024-Laporan-Kepemilikan-atau-Setiap-Perubahan-Kepemilikan-Saham-Perusahaan-Terbuka-dan-Aktivitas-Menjaminkan/POJK%204%20Tahun%202024%20Laporan%20Kepemilikan%20atau%20Setiap%20Perubahan%20Kepemilik.pdf,ojk-peraturan_ojk-4_tahun_2024-28022024-laporan_kepemilikan_atau_setiap_perubahan_kepemilikan_saham_perusahaan_terbuka_dan_aktivitas_menjaminkan_saham_perusahaan_terbuka.pdf,2
Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka dan Aktivitas Menjaminkan Saham Perusahaan Terbuka,https://www.ojk.go.id/id/regulasi/Pages/POJK-4-Tahun-2024-Laporan-Kepemilikan-atau-Setiap-Perubahan-Kepemilikan-Saham-Perusahaan-Terbuka-dan-Aktivitas-Menjaminkan.aspx,Pasar Modal,Peraturan Lainnya,Peraturan OJK,4 Tahun 2024,28 Februari 2024,POJK-4-Tahun-2024-Laporan-Kepemilikan-atau-Setiap-Perubahan-Kepemilikan-Saham-Perusahaan-Terbuka-dan-Aktivitas-Menjaminkan -- ABSTRAK POJK 4 TAHUN 2024 LAPORAN KEPEMILIKAN ATAU SETIAP PERUBAHAN.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-4-Tahun-2024-Laporan-Kepemilikan-atau-Setiap-Perubahan-Kepemilikan-Saham-Perusahaan-Terbuka-dan-Aktivitas-Menjaminkan/ABSTRAK%20POJK%204%20TAHUN%202024%20LAPORAN%20KEPEMILIKAN%20ATAU%20SETIAP%20PERUBAHAN.pdf,ojk-peraturan_ojk-4_tahun_2024-28022024-laporan_kepemilikan_atau_setiap_perubahan_kepemilikan_saham_perusahaan_terbuka_dan_aktivitas_menjaminkan_saham_perusahaan_terbuka.pdf,2
Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka dan Aktivitas Menjaminkan Saham Perusahaan Terbuka,https://www.ojk.go.id/id/regulasi/Pages/POJK-4-Tahun-2024-Laporan-Kepemilikan-atau-Setiap-Perubahan-Kepemilikan-Saham-Perusahaan-Terbuka-dan-Aktivitas-Menjaminkan.aspx,Pasar Modal,Peraturan Lainnya,Peraturan OJK,4 Tahun 2024,28 Februari 2024,POJK-4-Tahun-2024-Laporan-Kepemilikan-atau-Setiap-Perubahan-Kepemilikan-Saham-Perusahaan-Terbuka-dan-Aktivitas-Menjaminkan -- FAQ POJK 4 TAHUN 2024 Laporan Kepemilikan atau Setiap Perubahan Kepem.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-4-Tahun-2024-Laporan-Kepemilikan-atau-Setiap-Perubahan-Kepemilikan-Saham-Perusahaan-Terbuka-dan-Aktivitas-Menjaminkan/FAQ%20POJK%204%20TAHUN%202024%20Laporan%20Kepemilikan%20atau%20Setiap%20Perubahan%20Kepem.pdf,ojk-peraturan_ojk-4_tahun_2024-28022024-laporan_kepemilikan_atau_setiap_perubahan_kepemilikan_saham_perusahaan_terbuka_dan_aktivitas_menjaminkan_saham_perusahaan_terbuka.pdf,2
Penyelenggaraan Inovasi Teknologi Sektor Keuangan,https://www.ojk.go.id/id/regulasi/Pages/POJK-3-2024-Penyelenggaraan-Inovasi-Teknologi-Sektor-Keuangan.aspx,IKNB,Peraturan Lainnya,Peraturan OJK,3 Tahun 2024,19 Februari 2024,POJK-3-2024-Penyelenggaraan-Inovasi-Teknologi-Sektor-Keuangan -- POJK 3 Tahun 2024 Penyelenggaraan Inovasi Teknologi Sektor Keuangan.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-3-2024-Penyelenggaraan-Inovasi-Teknologi-Sektor-Keuangan/POJK%203%20Tahun%202024%20Penyelenggaraan%20Inovasi%20Teknologi%20Sektor%20Keuangan.pdf,ojk-peraturan_ojk-3_tahun_2024-19022024-penyelenggaraan_inovasi_teknologi_sektor_keuangan.pdf,4
Penyelenggaraan Inovasi Teknologi Sektor Keuangan,https://www.ojk.go.id/id/regulasi/Pages/POJK-3-2024-Penyelenggaraan-Inovasi-Teknologi-Sektor-Keuangan.aspx,IKNB,Peraturan Lainnya,Peraturan OJK,3 Tahun 2024,19 Februari 2024,POJK-3-2024-Penyelenggaraan-Inovasi-Teknologi-Sektor-Keuangan -- Abstrak POJK 3 Tahun 2024 Penyelenggaraan Inovasi Teknologi Sektor Keuangan.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-3-2024-Penyelenggaraan-Inovasi-Teknologi-Sektor-Keuangan/Abstrak%20POJK%203%20Tahun%202024%20Penyelenggaraan%20Inovasi%20Teknologi%20Sektor%20Keuangan.pdf,ojk-peraturan_ojk-3_tahun_2024-19022024-penyelenggaraan_inovasi_teknologi_sektor_keuangan.pdf,4
Penyelenggaraan Inovasi Teknologi Sektor Keuangan,https://www.ojk.go.id/id/regulasi/Pages/POJK-3-2024-Penyelenggaraan-Inovasi-Teknologi-Sektor-Keuangan.aspx,IKNB,Peraturan Lainnya,Peraturan OJK,3 Tahun 2024,19 Februari 2024,POJK-3-2024-Penyelenggaraan-Inovasi-Teknologi-Sektor-Keuangan -- FAQ POJK 3 Tahun 2024 Penyelenggaraan Inovasi Teknologi Sektor Keuangan.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-3-2024-Penyelenggaraan-Inovasi-Teknologi-Sektor-Keuangan/FAQ%20POJK%203%20Tahun%202024%20Penyelenggaraan%20Inovasi%20Teknologi%20Sektor%20Keuangan.pdf,ojk-peraturan_ojk-3_tahun_2024-19022024-penyelenggaraan_inovasi_teknologi_sektor_keuangan.pdf,4
Penerapan Tata Kelola Syariah Bagi Bank Umum Syariah dan Unit Usaha Syariah,https://www.ojk.go.id/id/regulasi/Pages/POJK-2-Tahun-2024-Penerapan-Tata-Kelola-Syariah-Bagi-Bank-Umum-Syariah-dan-Unit-Usaha-Syariah.aspx,Perbankan,"Bank Umum,  Perbankan Syariah",Peraturan OJK,2 Tahun 2024,16 Februari 2024,POJK-2-Tahun-2024-Penerapan-Tata-Kelola-Syariah-Bagi-Bank-Umum-Syariah-dan-Unit-Usaha-Syariah -- POJK 2 Tahun 2024 Penerapan Tata Kelola Syariah Bagi Bank Umum Syariah dan Unit Usaha Syariah.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-2-Tahun-2024-Penerapan-Tata-Kelola-Syariah-Bagi-Bank-Umum-Syariah-dan-Unit-Usaha-Syariah/POJK%202%20Tahun%202024%20Penerapan%20Tata%20Kelola%20Syariah%20Bagi%20Bank%20Umum%20Syariah%20dan%20Unit%20Usaha%20Syariah.pdf,ojk-peraturan_ojk-2_tahun_2024-16022024-penerapan_tata_kelola_syariah_bagi_bank_umum_syariah_dan_unit_usaha_syariah.pdf,4
Penerapan Tata Kelola Syariah Bagi Bank Umum Syariah dan Unit Usaha Syariah,https://www.ojk.go.id/id/regulasi/Pages/POJK-2-Tahun-2024-Penerapan-Tata-Kelola-Syariah-Bagi-Bank-Umum-Syariah-dan-Unit-Usaha-Syariah.aspx,Perbankan,"Bank Umum,  Perbankan Syariah",Peraturan OJK,2 Tahun 2024,16 Februari 2024,POJK-2-Tahun-2024-Penerapan-Tata-Kelola-Syariah-Bagi-Bank-Umum-Syariah-dan-Unit-Usaha-Syariah -- Abstrak POJK 2 Tahun 2024 Penerapan Tata Kelola Syariah Bagi Bank Umum Syariah dan Unit Usaha Syariah.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-2-Tahun-2024-Penerapan-Tata-Kelola-Syariah-Bagi-Bank-Umum-Syariah-dan-Unit-Usaha-Syariah/Abstrak%20POJK%202%20Tahun%202024%20Penerapan%20Tata%20Kelola%20Syariah%20Bagi%20Bank%20Umum%20Syariah%20dan%20Unit%20Usaha%20Syariah.pdf,ojk-peraturan_ojk-2_tahun_2024-16022024-penerapan_tata_kelola_syariah_bagi_bank_umum_syariah_dan_unit_usaha_syariah.pdf,4
Penerapan Tata Kelola Syariah Bagi Bank Umum Syariah dan Unit Usaha Syariah,https://www.ojk.go.id/id/regulasi/Pages/POJK-2-Tahun-2024-Penerapan-Tata-Kelola-Syariah-Bagi-Bank-Umum-Syariah-dan-Unit-Usaha-Syariah.aspx,Perbankan,"Bank Umum,  Perbankan Syariah",Peraturan OJK,2 Tahun 2024,16 Februari 2024,POJK-2-Tahun-2024-Penerapan-Tata-Kelola-Syariah-Bagi-Bank-Umum-Syariah-dan-Unit-Usaha-Syariah -- FAQ POJK 2 Tahun 2024 Penerapan Tata Kelola Syariah Bagi Bank Umum Syariah dan Unit Usaha Syariah.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-2-Tahun-2024-Penerapan-Tata-Kelola-Syariah-Bagi-Bank-Umum-Syariah-dan-Unit-Usaha-Syariah/FAQ%20POJK%202%20Tahun%202024%20Penerapan%20Tata%20Kelola%20Syariah%20Bagi%20Bank%20Umum%20Syariah%20dan%20Unit%20Usaha%20Syariah.pdf,ojk-peraturan_ojk-2_tahun_2024-16022024-penerapan_tata_kelola_syariah_bagi_bank_umum_syariah_dan_unit_usaha_syariah.pdf,4
Kualitas Aset Bank Perekonomian Rakyat,https://www.ojk.go.id/id/regulasi/Pages/Kualitas-Aset-Bank-Perekonomian-Rakyat.aspx,Perbankan,BPR,Peraturan OJK,1 Tahun 2024,11 Januari 2024,Kualitas-Aset-Bank-Perekonomian-Rakyat -- POJK 1 Tahun 2024 Kualitas Aset Bank Perekonomian Rakyat.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Kualitas-Aset-Bank-Perekonomian-Rakyat/POJK%201%20Tahun%202024%20Kualitas%20Aset%20Bank%20Perekonomian%20Rakyat.pdf,ojk-peraturan_ojk-1_tahun_2024-11012024-kualitas_aset_bank_perekonomian_rakyat.pdf,3
Kualitas Aset Bank Perekonomian Rakyat,https://www.ojk.go.id/id/regulasi/Pages/Kualitas-Aset-Bank-Perekonomian-Rakyat.aspx,Perbankan,BPR,Peraturan OJK,1 Tahun 2024,11 Januari 2024,Kualitas-Aset-Bank-Perekonomian-Rakyat -- Abstrak POJK 1 Tahun 2024 Kualitas Aset Bank Perekonomian Rakyat.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Kualitas-Aset-Bank-Perekonomian-Rakyat/Abstrak%20POJK%201%20Tahun%202024%20Kualitas%20Aset%20Bank%20Perekonomian%20Rakyat.pdf,ojk-peraturan_ojk-1_tahun_2024-11012024-kualitas_aset_bank_perekonomian_rakyat.pdf,3
Kualitas Aset Bank Perekonomian Rakyat,https://www.ojk.go.id/id/regulasi/Pages/Kualitas-Aset-Bank-Perekonomian-Rakyat.aspx,Perbankan,BPR,Peraturan OJK,1 Tahun 2024,11 Januari 2024,Kualitas-Aset-Bank-Perekonomian-Rakyat -- FAQ POJK 1 Tahun 2024 Kualitas Aset Bank Perekonomian Rakyat.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Kualitas-Aset-Bank-Perekonomian-Rakyat/FAQ%20POJK%201%20Tahun%202024%20Kualitas%20Aset%20Bank%20Perekonomian%20Rakyat.pdf,ojk-peraturan_ojk-1_tahun_2024-11012024-kualitas_aset_bank_perekonomian_rakyat.pdf,3
Penetapan Status dan Tindak Lanjut Pengawasan Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah,https://www.ojk.go.id/id/regulasi/Pages/POJK-28-Tahun-2023-Penetapan-Status-dan-Tindak-Lanjut-Pengawasan-BPR-dan-BPRS.aspx,Perbankan,"BPR,  Perbankan Syariah",Peraturan OJK,28 Tahun 2023,31 Desember 2023,POJK-28-Tahun-2023-Penetapan-Status-dan-Tindak-Lanjut-Pengawasan-BPR-dan-BPRS -- Salinan POJK Nomor 28 Tahun 2023.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-28-Tahun-2023-Penetapan-Status-dan-Tindak-Lanjut-Pengawasan-BPR-dan-BPRS/Salinan%20POJK%20Nomor%2028%20Tahun%202023.pdf,ojk-peraturan_ojk-28_tahun_2023-31122023-penetapan_status_dan_tindak_lanjut_pengawasan_bank_perekonomian_rakyat_dan_bank_perekonomian_rakyat_syariah.pdf,2
Penetapan Status dan Tindak Lanjut Pengawasan Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah,https://www.ojk.go.id/id/regulasi/Pages/POJK-28-Tahun-2023-Penetapan-Status-dan-Tindak-Lanjut-Pengawasan-BPR-dan-BPRS.aspx,Perbankan,"BPR,  Perbankan Syariah",Peraturan OJK,28 Tahun 2023,31 Desember 2023,POJK-28-Tahun-2023-Penetapan-Status-dan-Tindak-Lanjut-Pengawasan-BPR-dan-BPRS -- Abstrak POJK 28 Tahun 2023 Penetapan Status dan Tindak Lanjut Pengawasan Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-28-Tahun-2023-Penetapan-Status-dan-Tindak-Lanjut-Pengawasan-BPR-dan-BPRS/Abstrak%20POJK%2028%20Tahun%202023%20Penetapan%20Status%20dan%20Tindak%20Lanjut%20Pengawasan%20Bank%20Perekonomian%20Rakyat%20dan%20Bank%20Perekonomian%20Rakyat%20Syariah.pdf,ojk-peraturan_ojk-28_tahun_2023-31122023-penetapan_status_dan_tindak_lanjut_pengawasan_bank_perekonomian_rakyat_dan_bank_perekonomian_rakyat_syariah.pdf,2
